n_sector,addetti_ul,4,12,23,24,28,33,40,42,43,72,74,76,78,80,84,91,100
3.0,1094.0000011,0.0005941498897133777,0.0005941498897133777,0.0005941498897133777,0.0005941498897133777,0.0005941498897133777,0.0005941498897133777,0.0005941498897133777,0.0005941498897133777,0.0005941498897133777,0.0005941498897133777,0.0,0.0,0.0,0.0,0.0,0.0,0.0005941498897133777
4.0,29607.870006608602,0.005460034648352509,0.005707603956727745,0.005707603956727745,0.005707603956727745,0.005460034648352509,0.005460034648352509,0.005460034648352509,0.005254008348634277,0.005254008348634277,0.005254008348634277,0.0024263818364497346,0.0024263818364497346,0.0,0.0,0.0,0.0,0.005707603956727745
5.0,22787.469972316,0.0014279777412557046,0.0014279777412557046,0.0014279777412557046,0.0014279777412557046,0.0014279777412557046,0.0014279777412557046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014279777412557046
6.0,4035.4799971270004,0.006594011145872261,0.006594011145872261,0.006594011145872261,0.006594011145872261,0.006594011145872261,0.006594011145872261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006594011145872261
7.0,1665.61001285,0.0006003806366947298,0.0006003806366947298,0.0006003806366947298,0.0006003806366947298,0.0006003806366947298,0.0006003806366947298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006003806366947298
8.0,2851.1700076069997,0.00035073320683507917,0.00035073320683507917,0.00035073320683507917,0.00035073320683507917,0.00035073320683507917,0.00035073320683507917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035073320683507917
9.0,517.049999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1648.1899894199998,0.005951983972097872,0.005951983972097872,0.005951983972097872,0.005951983972097872,0.005951983972097872,0.005951983972097872,0.005951983972097872,0.005951983972097872,0.005951983972097872,0.005951983972097872,0.0,0.0,0.0,0.0,0.0,0.0,0.005951983972097872
11.0,649.6599992199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,4002.339979751,0.004972091351729207,0.004972091351729207,0.004972091351729207,0.004972091351729207,0.004972091351729207,0.004972091351729207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004972091351729207
13.0,6470.2999899060005,0.010126269307793234,0.010126269307793234,0.010126269307793234,0.010126269307793234,0.010126269307793234,0.010126269307793234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010126269307793234
14.0,11622.33000693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,16826.029997376998,0.0015166976526238393,0.0015166976526238393,0.0015166976526238393,0.0015166976526238393,0.0015166976526238393,0.0015166976526238393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015166976526238393
16.0,627.550000551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1555.839988297,0.010977992742489876,0.010977992742489876,0.010977992742489876,0.010977992742489876,0.010977992742489876,0.010977992742489876,0.010977992742489876,0.010977992742489876,0.010977992742489876,0.010977992742489876,0.0,0.0,0.0,0.0,0.0,0.0,0.010977992742489876
18.0,7562.74003447,0.004075242525794407,0.004075242525794407,0.004075242525794407,0.004075242525794407,0.004075242525794407,0.004075242525794407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004075242525794407
19.0,6374.159930399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,5114.81996367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,10136.190017772,0.0002505872517727631,0.0002505872517727631,0.0002505872517727631,0.0002505872517727631,0.0002505872517727631,0.0002505872517727631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002505872517727631
22.0,8334.88001146,0.00011997773196795338,0.00011997773196795338,0.00011997773196795338,0.00011997773196795338,0.00011997773196795338,0.00011997773196795338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011997773196795338
23.0,4055.7499959740003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,1850.140013158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,11899.209989113,0.005179335363976888,0.005179335363976888,0.005179335363976888,0.005179335363976888,0.005179335363976888,0.005179335363976888,0.005179335363976888,0.004914611898899622,0.004914611898899622,0.004914611898899622,0.00029413717408149545,0.00029413717408149545,0.0,0.0,0.0,0.0,0.005179335363976888
26.0,74472.30995798399,0.0038975560093914064,0.0038975560093914064,0.0038975560093914064,0.0038975560093914064,0.0038975560093914064,0.0038975560093914064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038975560093914064
