"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"26",26,0.0131483066787233,0.0131483066787233,0.0131483066787233,0.0131483066787233,0.0131483066787233,0.012758361797883,0.0109680590925233,0.00840767144660214,0.0053923923439279,0.0038272925812671,0.00341929578701673,0.00285778817745841,0.00188233956811341,0.000568556173347998,7.8760192970061e-05,3.34249086491762e-05,9.32439173164515e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,0.0109668691621926,0.0109668691621926,0.0109668691621926,0.0109668691621926,0.0109668691621926,0.0109668691621926,0.0100507492884501,0.00931595287674315,0.00867832143934344,0.00699427176819807,0.00537830548629849,0.00372076305472694,0.00302103251331273,0.00250520887030754,0.00201241162657977,0.00161512734349802,0.000758322900234605,0.000204171068319158,7.18748233539968e-05,5.81667563409325e-06,8.86522784298122e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",28,0.00910633140124131,0.00910633140124131,0.00910633140124131,0.00910633140124131,0.00910633140124131,0.00877964009785632,0.00790085232147885,0.00769801632562941,0.00712580478640666,0.00208736821431739,1.26794075452637e-05,2.44160723493081e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",29,0.0135500462875218,0.0135500462875218,0.0135500462875218,0.0135500462875218,0.0135500462875218,0.0135500462875218,0.0135500462875218,0.0135500462875218,0.013096101166209,0.0111804755751427,0.0100824380471957,0.00668574123308387,0.00395042009868813,0.00330539014721541,0.00278943951212061,0.00248960854858651,0.00185305128284445,0.00170624644440566,0.00144888506736954,0.00134760954365593,0.000963826330243787,0.000535005322528518,9.07911961826794e-05,3.98532875606711e-05,1.32135156821131e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",30,0.0063324014877067,0.0063324014877067,0.0063324014877067,0.0063324014877067,0.0063324014877067,0.0063324014877067,0.00628799307902232,0.00622691302707569,0.0061800327298731,0.00609858454366841,0.00583875369135979,0.00127951396698493,0.00118003435392621,0.00111145200692625,0.00102703411452484,0.000427930881052015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,0.0150826411897582,0.0150826411897582,0.0150826411897582,0.0150826411897582,0.0150826411897582,0.0150826411897582,0.0150116090089778,0.0149636603092438,0.0149636603092438,0.0149636603092438,0.0149636603092438,0.0147754730708357,0.0101271639911461,0.00614289906569777,0.00609536025266846,0.00253973343861186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",32,0.00268537286000954,0.00268537286000954,0.00268537286000954,0.00268537286000954,0.00268537286000954,0.00261612252738348,0.002422792810591,0.00206436303557757,0.00193647626165547,0.00185682943198698,0.00167627055207463,0.00142425162102035,0.00123015963991644,0.000916263584975632,0.000561053777883976,0.000231695269379875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",33,0.00263675673051231,0.00263675673051231,0.00263675673051231,0.00263675673051231,0.00263675673051231,0.00259753013083158,0.00243635457214368,0.00162829248122649,0.00153929377877525,0.00120224958577964,0.000952683129299751,0.000489281499958994,0.000165834829171189,0.000116147549595616,5.00842550364357e-05,4.62032691461107e-06,1.02673931435802e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",34,0.0114759074380051,0.0114759074380051,0.0114759074380051,0.0114759074380051,0.0114759074380051,0.0114759074380051,0.0114759074380051,0.0114759074380051,0.010689947134294,0.0097813285597661,0.00893650518992944,0.00725258896769569,0.0054449238540937,0.00425433137223043,0.00318670123586594,0.00237166138765694,0.00185019355714579,0.00147707939129563,0.00118709762431719,0.000530111192599142,0.000247304473298058,3.94553962886671e-05,1.31782674208697e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",35,0.00288997626023334,0.00288997626023334,0.00288997626023334,0.00288997626023334,0.00288997626023334,0.00283157741114132,0.00265370869568626,0.00230200316836956,0.0020968591636535,0.00178049915904049,0.0013401477006302,0.000993880388596711,0.000683974561863398,0.000548199471545435,0.000317626419374793,2.84587763551707e-06,6.32417252337127e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",36,0.00198302832313861,0.00198302832313861,0.00198302832313861,0.00198302832313861,0.00198302832313861,0.00195775389448315,0.0018805708619561,0.000974393938240543,0.000936981402078033,0.000357901462423475,0.000272877595260457,8.9269213843299e-05,8.9269213843299e-05,8.9269213843299e-05,8.9269213843299e-05,3.71955057680412e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",37,0.00261392258938152,0.00261392258938152,0.00261392258938152,0.00261392258938152,0.00261392258938152,0.00250707926504766,0.00228546990860143,0.00212937727678323,0.00177721151503523,0.00131212131409608,0.00104083810928656,0.000768960272213349,0.000641717603279911,0.000405376972837635,0.000157443339636967,9.34557167484868e-06,3.39838969994498e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",38,0.00435138612309245,0.00435138612309245,0.00435138612309245,0.00435138612309245,0.00435138612309245,0.00433703494072409,0.00401431932664624,0.00386162860254327,0.00296972204627114,0.00220714140013688,0.00188513815968984,0.00152621349328997,0.00144914082770906,0.000185166888075412,4.98701873307787e-05,4.77997399873965e-06,1.57644706945343e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",43,0.00309486818806708,0.00309486818806708,0.00309486818806708,0.00309486818806708,0.00309486818806708,0.00299841854210424,0.00262901093965473,0.00220560684698813,0.00206080260136477,0.00192092676075193,0.00161209102911019,0.000956385750810608,0.000711877586558358,0.000461602542609287,0.000224333103427365,1.41337434044253e-05,1.76671792555316e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
