n_sector,addetti_ul,4,12,23,24,25,33,40,42,43,44,50,52,72,74,76,78,80,84,91
3.0,1485.299990118,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.01559280950251676,0.0,0.0,0.0,0.0,0.0,0.0
4.0,28212.000027223,0.004705090117393781,0.004778817605625488,0.004778817605625488,0.004778817605625488,0.004705090117393781,0.004705090117393781,0.004705090117393781,0.004705090117393781,0.004705090117393781,0.004705090117393781,0.004705090117393781,0.004705090117393781,0.004705090117393781,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2784.710011559,0.0003591038190149491,0.0003591038190149491,0.0003591038190149491,0.0003591038190149491,0.0003591038190149491,0.0003591038190149491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,3407.029996054,0.0143409365507757,0.0143409365507757,0.0143409365507757,0.0143409365507757,0.0143409365507757,0.0143409365507757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,930.62000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2506.2199963079997,0.005574131489087029,0.005574131489087029,0.005574131489087029,0.005574131489087029,0.005574131489087029,0.005574131489087029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,2815.25000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2746.81000973,0.024719584448679905,0.025447701789491763,0.025447701789491763,0.025447701789491763,0.024719584448679905,0.024719584448679905,0.024719584448679905,0.024719584448679905,0.024719584448679905,0.024719584448679905,0.024719584448679905,0.024719584448679905,0.024719584448679905,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1526.21998248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,2590.4600057959997,0.008585347756861456,0.008585347756861456,0.008585347756861456,0.008585347756861456,0.008585347756861456,0.008585347756861456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,7087.569993852,0.002926249732699724,0.002926249732699724,0.002926249732699724,0.002926249732699724,0.002926249732699724,0.002926249732699724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,1003.47000159,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0069359323038774125,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10421.910002385,0.002606048199781477,0.002606048199781477,0.002606048199781477,0.002606048199781477,0.002606048199781477,0.002606048199781477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,4748.61979505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,971.47999522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,2583.820005959,0.008464211883785157,0.008464211883785157,0.008464211883785157,0.008464211883785157,0.008464211883785157,0.008464211883785157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,574.9399953899999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1560.109989,0.009595476925056724,0.009595476925056724,0.009595476925056724,0.009595476925056724,0.009595476925056724,0.009595476925056724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,3993.369986496,0.0002504150638136724,0.0002504150638136724,0.0002504150638136724,0.0002504150638136724,0.0002504150638136724,0.0002504150638136724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,8941.969964651,0.0006307334851599589,0.0006307334851599589,0.0006307334851599589,0.0006307334851599589,0.0006307334851599589,0.0006307334851599589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,4687.759996766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,2622.489995444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,13568.949996947,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0008224659831830015,0.0,0.0,0.0,0.0,0.0,0.0
