n_sector,addetti_ul,24
3.0,1664.049996684,0.0
4.0,22621.679968997,0.0
5.0,108294.55994311199,0.0
6.0,6671.5099912470005,0.0
7.0,10080.339993598,0.0
8.0,5203.2799978699995,0.0
9.0,948.33000881,0.0
10.0,6498.089992698,0.0
11.0,7086.24000924,0.0
12.0,7419.359975179999,0.0
13.0,11017.169976706,0.0
14.0,5800.74998849,0.0
15.0,26672.94994753,0.0
16.0,6877.45997609,0.0
17.0,5720.689964076,0.0
18.0,19184.970017086,0.0
19.0,5058.1299826800005,0.0
20.0,8832.01998162,0.0
21.0,22763.670023631,0.0
22.0,11133.989981725,0.0
23.0,4948.300027081,0.0
24.0,2660.8599911300003,0.0
25.0,11192.669957451,0.0
26.0,89340.489933641,0.0
27.0,236893.8400284408,0.0
28.0,62626.7500062866,0.0
29.0,124860.7499837838,3.507907889844366e-05
30.0,2778.359998026,0.0
31.0,4117.899998758,0.0
32.0,22709.459989222,0.0
33.0,36668.819962338996,0.0
34.0,27844.859994086004,0.0
35.0,68655.650022831,0.0
36.0,3192.699993479,0.0
37.0,19062.040004145,0.0
38.0,78888.42999435999,1.267613007473331e-05
40.0,8155.319995293999,0.0
41.0,54779.53005094,0.0
42.0,14564.6699942266,0.0
43.0,36536.710024522996,0.0
