n_sector,addetti_ul,4
3.0,355.62999507,0.0
4.0,12334.720001561,0.0
5.0,36640.579993061,0.0
6.0,4388.2499721,0.0
7.0,3525.55997952,0.0
8.0,2329.69999809,0.0
9.0,560.1800008,0.0
10.0,2025.47000826,0.0
11.0,1693.010022,0.0
12.0,10352.740009379999,0.0
13.0,3264.88000092,0.0
14.0,2413.20999985,0.0
15.0,20013.649936769,0.0
16.0,3049.76997259,0.0
17.0,9720.560006988999,0.0
18.0,13411.569999699,0.0
19.0,1591.8099986299999,0.0
20.0,3517.730010238,0.0
21.0,18385.189953662,0.0
22.0,4182.759996217001,0.0
23.0,1616.060001368,0.0
24.0,993.07001177,0.0
25.0,4677.069998049,0.0
26.0,33868.429973453996,0.00011692304612595977
27.0,91317.3699857498,0.0
28.0,20798.340020312,0.0
29.0,40411.37997412,0.0
30.0,1038.88999618,0.0
31.0,1290.02999844,0.0
32.0,8667.069991565,0.0
33.0,12404.40999835,0.0
34.0,9320.659996971,0.0
35.0,25576.919972395,0.0
36.0,456.70000058899996,0.0
37.0,7783.849999573,0.0
38.0,27765.819933316998,0.0
40.0,1843.030001949,0.0
41.0,22897.879975255,0.0
42.0,5394.380001157,0.0
43.0,14531.690001879,0.0
