n_sector,addetti_ul,4,12,23,24,25,28,33,40,42,43,44,50,52,72,74,76,78,80,84,91,100
4.0,9656.879988847999,0.0017034487348912756,0.0017034487348912756,0.0017034487348912756,0.0017034487348912756,0.0005643644744776566,0.0005643644744776566,0.0005643644744776566,0.0005643644744776566,0.00010355311458305618,0.00010355311458305618,0.00010355311458305618,0.00010355311458305618,0.00010355311458305618,0.00010355311458305618,0.00010355311458305618,0.00010355311458305618,0.0,0.0,0.0,0.0,0.0
5.0,1021.35999833,0.0009790867095197332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1287.21000135,0.010433417846283733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1213.879998949,0.004942827960914515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1276.5899981100001,0.0015666737190178626,0.0015666737190178626,0.0015666737190178626,0.0015666737190178626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1444.160000338,0.011757699975089948,0.011757699975089948,0.011757699975089948,0.011757699975089948,0.011757699975089948,0.011757699975089948,0.011757699975089948,0.011757699975089948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1747.31999876,0.03817274285610775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,2511.07997264,0.007068671724277545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7778.059971386,0.00884667901162229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,5842.54011401,0.0013179198858277313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,6408.54000514,0.005857808638143923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,2731.740002039,0.0021817596094618787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,5769.160005655,0.005373399241763693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,2280.689991951,0.004003174535873596,0.004003174535873596,0.004003174535873596,0.004003174535873596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,1189.4200102,0.007079080583640243,0.007079080583640243,0.007079080583640243,0.007079080583640243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,5478.079996228,0.006984199030745152,0.006984199030745152,0.006984199030745152,0.006984199030745152,3.650914191426838e-05,3.650914191426838e-05,3.650914191426838e-05,3.650914191426838e-05,3.650914191426838e-05,3.650914191426838e-05,3.650914191426838e-05,3.650914191426838e-05,3.650914191426838e-05,3.650914191426838e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,38563.300004578,0.0026045489026633195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,91132.269969898,0.006273518684203142,0.006273518684203142,0.006273518684203142,0.0020366002389856606,0.0020366002389856606,0.0020366002389856606,0.0020366002389856606,0.0020366002389856606,0.0020366002389856606,0.0020366002389856606,0.0010828217296967927,0.0010828217296967927,0.0010828217296967927,0.0010828217296967927,0.00013946761343921636,0.00013946761343921636,0.00013946761343921636,0.00013946761343921636,0.00013946761343921636,0.00013946761343921636,0.00013946761343921636
28.0,67953.340237884,0.00043824188782698936,0.00043824188782698936,0.00043824188782698936,0.00043824188782698936,0.00043824188782698936,0.00032080836694244643,0.00032080836694244643,0.00032080836694244643,0.00032080836694244643,0.00032080836694244643,0.00032080836694244643,0.00026915527692932044,0.00026915527692932044,0.00026915527692932044,0.00025649953392994175,0.00025649953392994175,0.00025649953392994175,0.00025649953392994175,0.00025649953392994175,0.0,0.0
29.0,53768.63993982,0.00211108184858395,0.00211108184858395,0.00211108184858395,0.00211108184858395,0.000452308258442466,0.000452308258442466,0.000452308258442466,0.000452308258442466,0.000452308258442466,6.527968726619339e-05,6.527968726619339e-05,6.527968726619339e-05,6.527968726619339e-05,6.527968726619339e-05,6.527968726619339e-05,0.0,0.0,0.0,0.0,0.0,0.0
31.0,1447.590010447,0.0006908033302130974,0.0006908033302130974,0.0006908033302130974,0.0006908033302130974,0.0006908033302130974,0.0006908033302130974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
