40643,2001
40649,2001
40644,2001
40645,2001
40642,2001
40659,2002
40657,2002
40658,2002
40656,2002
40664,2002
40661,2002
40660,2002
40666,2002
40665,2002
40662,2002
40655,2002
40663,2002
40668,2003
40675,2003
40678,2003
40673,2003
40670,2003
40677,2003
40674,2003
40683,2004
40688,2004
40689,2004
40680,2004
40687,2004
40684,2004
40681,2004
40686,2004
40682,2004
40699,2005
40692,2005
40704,2005
40701,2005
40694,2005
40693,2005
40706,2005
40695,2005
40705,2005
40710,2006
40716,2006
40717,2006
40712,2006
40708,2006
40714,2006
40718,2006
40715,2006
40707,2006
40709,2006
40725,2007
40728,2007
40730,2007
40727,2007
40719,2007
40723,2007
40721,2007
40724,2007
40729,2007
40740,2008
40736,2008
40742,2008
40743,2008
40733,2008
40738,2008
40737,2008
40751,2009
40756,2009
40747,2009
40755,2009
40744,2009
40754,2009
40746,2009
40752,2009
40748,2009
40767,2010
40765,2010
40766,2010
40769,2010
40768,2010
40759,2010
40760,2010
40757,2010
40763,2010
40773,2011
40772,2011
40776,2011
40775,2011
40771,2011
40783,2011
40779,2011
40778,2011
40777,2011
40785,2012
40794,2012
40792,2012
40797,2012
40790,2012
40791,2012
40795,2012
40796,2012
40793,2012
40787,2012
40798,2012
40806,2013
40804,2013
40810,2013
40813,2013
40799,2013
40802,2013
40801,2013
40800,2013
40812,2013
40814,2013
40815,2013
40803,2013
40823,2014
40829,2014
40816,2014
40820,2014
40828,2014
40822,2014
40817,2014
40825,2014
40818,2014
40832,2015
40831,2015
40836,2015
40842,2015
40833,2015
40838,2015
40840,2015
40834,2015
40835,2015
40855,2016
40845,2016
40850,2016
40843,2016
40852,2016
40844,2016
40847,2016
40849,2016
40848,2016
40854,2016
40856,2016
40857,2017
40860,2017
40859,2017
40861,2017
40858,2017
40868,2017
40865,2017
40867,2017
40863,2017
40862,2017
40881,2018
40871,2018
40870,2018
40872,2018
40877,2018
40869,2018
40880,2018
40875,2018
40883,2019
40887,2019
40890,2019
40895,2019
40882,2019
40889,2019
40886,2019
40893,2019
40906,2020
40905,2020
40903,2020
40901,2020
40904,2020
40899,2020
40898,2020
40900,2020
40902,2020
40896,2020
40897,2020
