ateco_ul_2007,ateco_sector,n_sector,hazus_sector,ING_sector,addetti_ul
6200,Attività estrattiva,3.0,IND4,na,14.92
8110,Attività estrattiva,3.0,IND4,na,272.86999953
8120,Attività estrattiva,3.0,IND4,na,582.39999732
8910,Attività estrattiva,3.0,IND4,na,2.04
8920,Attività estrattiva,3.0,IND4,na,18.6400002
8990,Attività estrattiva,3.0,IND4,na,22.77
9100,Attività estrattiva,3.0,IND4,na,0.22
9900,Attività estrattiva,3.0,IND4,na,1.0
10110,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,5992.75999392
10120,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,948.35000758
10130,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2171.90999167
10200,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,726.280010099
10320,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,352.91000099999997
10390,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1906.649993789
10411,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,90.70000121
10412,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,173.850002
10413,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,38.85000001
10420,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,10.93
10511,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,348.34998690000003
10512,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2840.02999896
10520,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,284.3699992
10611,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,475.57999978
10612,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,276.4000028
10613,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,55.229999899999996
10614,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,264.59999871
10620,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,294.48001
10711,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,8126.429993958
10712,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1752.010004531
10720,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3743.4499986700002
10730,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2925.9199853
10810,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,129.88
10820,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,540.28000312
10830,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,1055.56000698
10840,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,111.1600014
10850,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,858.23000804
10860,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,304.42999948
10890,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2071.1000032379998
10910,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,736.9800005
10920,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,501.8700032
11010,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,512.83000616
11021,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,3826.039994668
11022,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,918.79000669
11040,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,65.190001
11050,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,383.50000202999996
11070,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,2088.6600149
12000,"Industrie alimentari, delle bevande e del tabacco",4.0,IND3,IND_LG,30.219999
13100,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,658.51000488
13200,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,2013.25999043
13300,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,2326.68999965
13910,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,823.5699961
13921,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,831.72000049
13922,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,994.84999348
13930,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,70.5900002
13940,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,70.1700014
13950,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,430.09000059000005
13961,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,663.7400116
13962,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,1128.55000944
13991,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,645.7999993
13992,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,14.73
13999,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,119.6499999
14110,"Industrie tessili, abbigliamento, pelli e accessori",5.0,IND1+IND2,IND_LG,759.10999855
